state/district,fullname,first,last,chamber,birthdate,age,date_took_office,time_in_congress (years),cong_days,zodiac sign,Party,percent_life_in_office,raw_life_in_congress
Maryland,Barbara Mikulski,Barbara,Mikulski,Senator,7/20/1936,77,1/3/1987,27,9855,Cancer,Democratic,35%,35
Maryland,Ben Cardin,Ben,Cardin,Senator,10/5/1943,70,1/3/2007,7,2555,Libra,Democratic,10%,10
New Mexico 3,Ben R. Luján,Ben R.,Luján,Representative,6/7/1972,41,1/3/2009,5,1825,Gemini,Democratic,12%,12
Mississippi 2,Bennie Thompson,Bennie,Thompson,Representative,1/28/1948,66,4/13/1993,21,7665,Aquarius,Democratic,32%,32
Vermont,Bernie Sanders,Bernie,Sanders,Senator,9/8/1941,72,1/3/2007,7,2555,Virgo,Independent[1],10%,10
Texas 16,Beto O'Rourke,Beto,O'Rourke,Representative,9/26/1972,41,1/3/2013,1,365,Libra,Democratic,2%,2
Minnesota 4,Betty McCollum,Betty,McCollum,Representative,7/12/1954,59,1/3/2001,13,4745,Cancer,Democratic,22%,22
Louisiana 6,Bill Cassidy,Bill,Cassidy,Representative,9/28/1957,56,1/3/2009,5,1825,Libra,Republican,9%,9
Texas 17,Bill Flores,Bill,Flores,Representative,2/25/1954,60,1/3/2011,3,1095,Pisces,Republican,5%,5
Illinois 11,Bill Foster,Bill,Foster,Representative,10/7/1955,58,1/3/2013,1,365,Libra,Democratic,2%,2
Michigan 2,Bill Huizenga,Bill,Huizenga,Representative,1/31/1969,45,1/3/2011,3,1095,Aquarius,Republican,7%,7
Ohio 6,Bill Johnson,Bill,Johnson,Representative,11/10/1954,59,1/3/2011,3,1095,Scorpio,Democratic,5%,5
Florida,Bill Nelson,Bill,Nelson,Senator,9/29/1942,71,1/3/2001,13,4745,Libra,Democratic,18%,18
New York 21,Bill Owens,Bill,Owens,Representative,1/20/1949,65,11/3/2009,4,1460,Capricorn,Democratic,6%,6
New Jersey 9,Bill Pascrell,Bill,Pascrell,Representative,1/25/1937,77,1/3/1997,17,6205,Aquarius,Democratic,22%,22
Florida 8,Bill Posey,Bill,Posey,Representative,12/18/1947,66,1/3/2009,5,1825,Sagittarius,Republican,8%,8
Pennsylvania 9,Bill Shuster,Bill,Shuster,Representative,1/10/1960,54,5/15/2001,12,4380,Capricorn,Republican,22%,22
Missouri 7,Billy Long,Billy,Long,Representative,8/11/1955,58,1/3/2011,3,1095,Leo,Republican,5%,5
Missouri 3,Blaine Luetkemeyer,Blaine,Luetkemeyer,Representative,5/7/1952,61,1/3/2009,5,1825,Taurus,Republican,8%,8
Texas 27,Blake Farenthold,Blake,Farenthold,Representative,12/12/1961,52,1/3/2011,3,1095,Sagittarius,Republican,6%,6
Pennsylvania 1,Bob Brady,Bob,Brady,Representative,4/7/1945,69,5/19/1998,15,5475,Aries,Republican,22%,22
Pennsylvania,"Bob Casey, Jr.","Bob Casey,",Jr.,Senator,4/13/1960,54,1/3/2007,7,2555,Aries,Democratic,13%,13
Tennessee,Bob Corker,Bob,Corker,Senator,8/24/1952,61,1/3/2007,7,2555,Virgo,Republican,11%,11
Ohio 7,Bob Gibbs,Bob,Gibbs,Representative,6/14/1954,59,1/3/2011,3,1095,Gemini,Republican,5%,5
Virginia 6,Bob Goodlatte,Bob,Goodlatte,Representative,9/22/1952,61,1/3/1993,21,7665,Virgo,Republican,34%,34
Ohio 5,Bob Latta,Bob,Latta,Representative,4/18/1956,58,12/11/2007,6,2190,Aries,Republican,10%,10
New Jersey,Bob Menendez,Bob,Menendez,Senator,1/1/1954,60,1/18/2006,8,2920,Capricorn,Democratic,13%,13
Illinois 1,Bobby Rush,Bobby,Rush,Representative,11/23/1946,67,1/3/1993,21,7665,Sagittarius,Democratic,31%,31
Virginia 3,Bobby Scott,Bobby,Scott,Representative,4/30/1947,67,1/3/1993,21,7665,Taurus,Democratic,31%,31
Illinois 10,Brad Schneider,Brad,Schneider,Representative,8/20/1961,52,1/3/2013,1,365,Leo,Democratic,2%,2
California 30,Brad Sherman,Brad,Sherman,Representative,10/24/1954,59,1/3/1997,17,6205,Scorpio,Democratic,29%,29
Ohio 2,Brad Wenstrup,Brad,Wenstrup,Representative,6/17/1958,55,1/3/2013,1,365,Gemini,Republican,2%,2
Alabama 1,Bradley Byrne,Bradley,Byrne,Representative,2/16/1955,59,12/17/2013,0,0,Aquarius,Republican,0%,0
Kentucky 2,Brett Guthrie,Brett,Guthrie,Representative,2/18/1964,50,1/3/2009,5,1825,Aquarius,Republican,10%,10
New York 26,Brian Higgins,Brian,Higgins,Representative,10/6/1959,54,1/3/2005,9,3285,Libra,Democratic,17%,17
Hawaii,Brian Schatz,Brian,Schatz,Senator,10/20/1972,41,12/26/2012,1,365,Libra,Democratic,2%,2
Iowa 1,Bruce Braley,Bruce,Braley,Representative,10/30/1957,56,1/3/2007,7,2555,Scorpio,Democratic,13%,13
Michigan 10,Candice Miller,Candice,Miller,Representative,5/7/1954,59,1/3/2003,11,4015,Taurus,Republican,19%,19
Michigan,Carl Levin,Carl,Levin,Senator,6/28/1934,79,1/3/1979,35,12775,Cancer,Democratic,44%,44
New Hampshire 1,Carol Shea-Porter,Carol,Shea-Porter,Representative,12/2/1952,61,1/3/2013,1,365,Sagittarius,Democratic,2%,2
New York 12,Carolyn B. Maloney,Carolyn B.,Maloney,Representative,2/19/1946,68,1/3/1993,21,7665,Aquarius,Democratic,31%,31
New York 4,Carolyn McCarthy,Carolyn,McCarthy,Representative,1/5/1944,70,1/3/1997,17,6205,Capricorn,Democratic,24%,24
Washington 5,Cathy McMorris Rodgers,Cathy,McMorris Rodgers,Representative,5/22/1969,44,1/3/2005,9,3285,Gemini,Republican,20%,20
Louisiana 2,Cedric Richmond,Cedric,Richmond,Representative,9/13/1973,40,1/3/2011,3,1095,Virgo,Democratic,8%,8
Pennsylvania 2,Chaka Fattah,Chaka,Fattah,Representative,11/21/1956,57,1/3/1995,19,6935,Scorpio,Democratic,33%,33
New York 13,Charles B. Rangel,Charles B.,Rangel,Representative,6/11/1930,83,1/3/1971,43,15695,Gemini,Democratic,52%,52
Louisiana 3,Charles Boustany,Charles,Boustany,Representative,2/21/1956,58,1/3/2005,9,3285,Pisces,Republican,16%,16
Pennsylvania 15,Charlie Dent,Charlie,Dent,Representative,5/24/1960,53,1/3/2005,9,3285,Gemini,Republican,17%,17
Maine 1,Chellie Pingree,Chellie,Pingree,Representative,4/2/1955,59,1/3/2009,5,1825,Aries,Democratic,8%,8
Illinois 17,Cheri Bustos,Cheri,Bustos,Representative,10/17/1961,52,1/3/2013,1,365,Libra,Democratic,2%,2
New York 27,Chris Collins,Chris,Collins,Representative,5/20/1950,63,1/3/2013,1,365,Taurus,Republican,2%,2
Delaware,Chris Coons,Chris,Coons,Senator,9/9/1963,50,11/15/2010,3,1095,Virgo,Democratic,6%,6
New York 19,Chris Gibson,Chris,Gibson,Representative,5/13/1964,49,1/3/2011,3,1095,Taurus,Republican,6%,6
New Jersey 4,Chris H. Smith,Chris H.,Smith,Representative,3/4/1953,61,1/3/1981,33,12045,Pisces,Republican,54%,54
Connecticut,Chris Murphy,Chris,Murphy,Senator,8/3/1973,40,1/3/2013,1,365,Leo,Democratic,3%,3
Utah 2,Chris Stewart,Chris,Stewart,Representative,7/15/1960,53,1/3/2013,1,365,Cancer,Republican,2%,2
Maryland 8,Chris Van Hollen,Chris Van,Van Hollen,Representative,1/10/1959,55,1/3/2003,11,4015,Capricorn,Democratic,20%,20
Tennessee 3,Chuck Fleischmann,Chuck,Fleischmann,Representative,10/11/1962,51,1/3/2011,3,1095,Libra,Republican,6%,6
Iowa,Chuck Grassley,Chuck,Grassley,Senator,9/17/1933,80,1/3/1981,33,12045,Virgo,Republican,41%,41
New York,Chuck Schumer,Chuck,Schumer,Senator,11/23/1950,63,1/3/1999,15,5475,Sagittarius,Democratic,24%,24
Missouri,Claire McCaskill,Claire,McCaskill,Senator,7/24/1953,60,1/3/2007,7,2555,Leo,Democratic,12%,12
Hawaii 1,Colleen Hanabusa,Colleen,Hanabusa,Representative,3/4/1951,63,1/3/2011,3,1095,Pisces,Democratic,5%,5
Minnesota 7,Collin Peterson,Collin,Peterson,Representative,6/29/1944,69,1/3/1991,23,8395,Cancer,Democratic,33%,33
Florida 5,Corrine Brown,Corrine,Brown,Representative,11/11/1946,67,1/3/1993,21,7665,Scorpio,Democratic,31%,31
New Jersey,Cory Booker,Cory,Booker,Senator,4/27/1969,45,10/31/2013,0,0,Taurus,Democratic,0%,0
Colorado 4,Cory Gardner,Cory,Gardner,Representative,8/22/1974,39,1/3/2011,3,1095,Leo,Republican,8%,8
Wyoming At-Large,Cynthia Lummis,Cynthia,Lummis,Representative,9/10/1954,59,1/3/2009,5,1825,Virgo,Republican,8%,8
Michigan 1,Dan Benishek,Dan,Benishek,Representative,4/20/1952,62,1/3/2011,3,1095,Aries,Republican,5%,5
Indiana,Dan Coats,Dan,Coats,Senator,5/16/1943,70,1/3/2011,3,1095,Taurus,Republican,4%,4
Michigan 5,Dan Kildee,Dan,Kildee,Representative,8/11/1958,55,1/3/2013,1,365,Leo,Democratic,2%,2
Illinois 3,Dan Lipinski,Dan,Lipinski,Representative,7/15/1966,47,1/3/2005,9,3285,Cancer,Democratic,19%,19
New York 24,Dan Maffei,Dan,Maffei,Representative,7/4/1968,45,1/3/2013,1,365,Cancer,Democratic,2%,2
California 48,Dana Rohrabacher,Dana,Rohrabacher,Representative,6/21/1947,66,1/3/1989,25,9125,Cancer,Republican,38%,38
Florida 10,Daniel Webster,Daniel,Webster,Representative,4/27/1949,65,1/3/2011,3,1095,Taurus,Republican,5%,5
Illinois 7,Danny K. Davis,Danny K.,Davis,Representative,9/6/1941,72,1/3/1997,17,6205,Virgo,Democratic,24%,24
California 49,Darrell Issa,Darrell,Issa,Representative,11/1/1953,60,1/3/2001,13,4745,Scorpio,Republican,22%,22
Washington 8,Dave Reichert,Dave,Reichert,Representative,8/29/1950,63,1/3/2005,9,3285,Virgo,Republican,14%,14
Rhode Island 1,David Cicilline,David,Cicilline,Representative,7/15/1961,52,1/3/2011,3,1095,Cancer,Democratic,6%,6
North Carolina 4,David E. Price,David E.,Price,Representative,8/17/1940,73,1/3/1997,17,6205,Leo,Democratic,23%,23
Florida 13,David Jolly,David,Jolly,Representative,10/31/1972,41,3/13/2014,0,0,Scorpio,Republican,0%,0
Ohio 14,David Joyce,David,Joyce,Representative,3/17/1957,57,1/3/2013,1,365,Pisces,Republican,2%,2
Michigan 4,David L. Camp,David L.,Camp,Representative,7/9/1953,60,1/3/1991,23,8395,Cancer,Republican,38%,38
Iowa 2,David Loebsack,David,Loebsack,Representative,12/23/1952,61,1/3/2007,7,2555,Capricorn,Democratic,11%,11
West Virginia 1,David McKinley,David,McKinley,Representative,3/28/1947,67,1/3/2011,3,1095,Aries,Republican,4%,4
Arizona 6,David Schweikert,David,Schweikert,Representative,3/3/1962,52,1/3/2011,3,1095,Pisces,Republican,6%,6
Georgia 13,David Scott,David,Scott,Representative,6/27/1946,67,1/3/2003,11,4015,Cancer,Democratic,16%,16
California 21,David Valadao,David,Valadao,Representative,4/14/1977,37,1/3/2013,1,365,Aries,Republican,3%,3
Louisiana,David Vitter,David,Vitter,Senator,5/3/1961,52,1/3/2005,9,3285,Taurus,Republican,17%,17
Nevada,Dean Heller,Dean,Heller,Senator,5/10/1960,53,5/9/2011,2,730,Taurus,Republican,4%,4
Nebraska,Deb Fischer,Deb,Fischer,Senator,3/1/1951,63,1/3/2013,1,365,Pisces,Republican,2%,2
Michigan,Debbie Stabenow,Debbie,Stabenow,Senator,4/29/1950,64,1/3/2001,13,4745,Taurus,Democratic,20%,20
Florida 23,Debbie Wasserman Schultz,Debbie,Wasserman Schultz,Representative,9/27/1966,47,1/3/2005,9,3285,Libra,Democratic,19%,19
Florida 15,Dennis A. Ross,Dennis A.,Ross,Representative,10/18/1959,54,1/3/2011,3,1095,Libra,Republican,6%,6
Washington 10,Dennis Heck,Dennis,Heck,Representative,7/29/1952,61,1/3/2013,1,365,Leo,Democratic,2%,2
Washington 6,Derek Kilmer,Derek,Kilmer,Representative,1/1/1974,40,1/3/2013,1,365,Capricorn,Democratic,3%,3
California 22,Devin Nunes,Devin,Nunes,Representative,10/1/1973,40,1/3/2003,11,4015,Libra,Republican,28%,28
Colorado 1,Diana DeGette,Diana,DeGette,Representative,7/29/1957,56,1/3/1997,17,6205,Leo,Democratic,30%,30
Tennessee 6,Diane Black,Diane,Black,Representative,1/16/1951,63,1/3/2011,3,1095,Capricorn,Republican,5%,5
California,Dianne Feinstein,Dianne,Feinstein,Senator,6/22/1933,80,11/10/1992,21,7665,Cancer,Democratic,26%,26
Illinois,Dick Durbin,Dick,Durbin,Senator,11/21/1944,69,1/3/1997,17,6205,Scorpio,Democratic,25%,25
Nevada 1,Dina Titus,Dina,Titus,Representative,5/23/1950,63,1/3/2013,1,365,Gemini,Democratic,2%,2
Washington 4,Doc Hastings,Doc,Hastings,Representative,2/7/1941,73,1/3/1995,19,6935,Aquarius,Republican,26%,26
Alaska At-Large,Don Young,Don,Young,Representative,6/9/1933,80,3/6/1973,41,14965,Gemini,Republican,51%,51
New Jersey 10,Donald Payne,Donald,Payne,Representative,12/17/1958,55,11/6/2012,1,365,Sagittarius,Democratic,2%,2
Maryland 4,Donna Edwards,Donna,Edwards,Representative,6/28/1958,55,6/17/2008,5,1825,Cancer,Democratic,9%,9
California 6,Doris Matsui,Doris,Matsui,Representative,9/25/1944,69,3/8/2005,9,3285,Libra,Democratic,13%,13
Georgia 9,Doug Collins,Doug,Collins,Representative,8/16/1966,47,1/3/2013,1,365,Leo,Republican,2%,2
California 1,Doug LaMalfa,Doug,LaMalfa,Representative,7/2/1960,53,1/3/2013,1,365,Cancer,Republican,2%,2
Colorado 5,Doug Lamborn,Doug,Lamborn,Representative,5/24/1954,59,1/3/2007,7,2555,Gemini,Republican,12%,12
California 50,Duncan D. Hunter,Duncan D.,Hunter,Representative,12/7/1976,37,1/3/2009,5,1825,Sagittarius,Republican,14%,14
Maryland 2,Dutch Ruppersberger,Dutch,Ruppersberger,Representative,1/31/1946,68,1/3/2003,11,4015,Aquarius,Democratic,16%,16
Oregon 3,Earl Blumenauer,Earl,Blumenauer,Representative,8/16/1948,65,5/21/1996,17,6205,Leo,Democratic,26%,26
Massachusetts,Ed Markey,Ed,Markey,Senator,7/11/1946,67,7/16/2013,0,0,Cancer,Democratic,0%,0
Arizona 7,Ed Pastor,Ed,Pastor,Representative,6/28/1943,70,9/24/1991,22,8030,Cancer,Democratic,31%,31
Colorado 7,Ed Perlmutter,Ed,Perlmutter,Representative,5/1/1953,60,1/3/2007,7,2555,Taurus,Democratic,12%,12
California 39,Ed Royce,Ed,Royce,Representative,10/12/1951,62,1/3/1993,21,7665,Libra,Republican,34%,34
Kentucky 1,Ed Whitfield,Ed,Whitfield,Representative,5/25/1943,70,1/3/1995,19,6935,Gemini,Republican,27%,27
Texas 30,Eddie B. Johnson,Eddie B.,Johnson,Representative,12/3/1935,78,1/3/1993,21,7665,Sagittarius,Republican,27%,27
Maryland 7,Elijah Cummings,Elijah,Cummings,Representative,1/18/1951,63,4/16/1996,18,6570,Capricorn,Democratic,29%,29
New York 16,Eliot Engel,Eliot,Engel,Representative,2/18/1947,67,1/3/1989,25,9125,Aquarius,Democratic,37%,37
Connecticut 5,Elizabeth Esty,Elizabeth,Esty,Representative,8/25/1959,54,1/3/2013,1,365,Virgo,Democratic,2%,2
Massachusetts,Elizabeth Warren,Elizabeth,Warren,Senator,6/22/1949,64,1/3/2013,1,365,Cancer,Democratic,2%,2
Missouri 5,Emanuel Cleaver,Emanuel,Cleaver,Representative,10/26/1944,69,1/3/2005,9,3285,Scorpio,Democratic,13%,13
Virginia 7,Eric Cantor,Eric,Cantor,Representative,6/6/1963,50,1/3/2001,13,4745,Gemini,Republican,26%,26
California 15,Eric Swalwell,Eric,Swalwell,Representative,11/16/1980,33,1/3/2013,1,365,Scorpio,Democratic,3%,3
Minnesota 3,Erik Paulsen,Erik,Paulsen,Representative,5/14/1965,48,1/3/2009,5,1825,Taurus,Republican,10%,10
Texas 34,Filemon Vela,Filemon,Vela,Representative,2/13/1963,51,1/3/2013,1,365,Aquarius,Democratic,2%,2
Oklahoma 3,Frank D. Lucas,Frank D.,Lucas,Representative,1/6/1960,54,5/10/1994,19,6935,Capricorn,Republican,35%,35
New Jersey 2,Frank LoBiondo,Frank,LoBiondo,Representative,5/12/1946,67,1/3/1995,19,6935,Taurus,Republican,28%,28
New Jersey 6,Frank Pallone,Frank,Pallone,Representative,10/30/1951,62,11/8/1988,25,9125,Scorpio,Democratic,40%,40
Virginia 10,Frank Wolf,Frank,Wolf,Representative,1/30/1939,75,1/3/1981,33,12045,Aquarius,Republican,44%,44
Michigan 6,Fred Upton,Fred,Upton,Representative,4/23/1953,61,1/3/1987,27,9855,Taurus,Republican,44%,44
Florida 24,Frederica Wilson,Frederica,Wilson,Representative,11/5/1942,71,1/3/2011,3,1095,Scorpio,Democratic,4%,4
Michigan 14,Gary C. Peters,Gary C.,Peters,Representative,12/1/1958,55,1/3/2009,5,1825,Sagittarius,Democratic,9%,9
California 31,Gary Miller,Gary,Miller,Representative,10/16/1948,65,1/3/1999,15,5475,Libra,Republican,23%,23
Texas 29,Gene Green,Gene,Green,Representative,10/17/1947,66,1/3/1993,21,7665,Libra,Democratic,32%,32
North Carolina 13,George Holding,George,Holding,Representative,4/17/1968,46,1/3/2013,1,365,Aries,Republican,2%,2
North Carolina 1,George K. Butterfield,George K.,Butterfield,Representative,4/27/1947,67,7/20/2004,9,3285,Taurus,Democratic,13%,13
California 11,George Miller,George,Miller,Representative,5/17/1945,68,1/3/1975,39,14235,Taurus,Democratic,57%,57
Virginia 11,Gerry Connolly,Gerry,Connolly,Representative,3/30/1950,64,1/3/2009,5,1825,Aries,Democratic,8%,8
Pennsylvania 5,Glenn Thompson,Glenn,Thompson,Representative,7/27/1959,54,1/3/2009,5,1825,Leo,Republican,9%,9
California 35,Gloria Negrete McLeod,Gloria,Negrete McLeod,Representative,11/6/1941,72,1/3/2013,1,365,Scorpio,Democratic,1%,1
New York 6,Grace Meng,Grace,Meng,Representative,10/1/1975,38,1/3/2013,1,365,Libra,Democratic,3%,3
California 32,Grace Napolitano,Grace,Napolitano,Representative,12/4/1936,77,1/3/1999,15,5475,Sagittarius,Democratic,19%,19
Oregon 2,Greg Walden,Greg,Walden,Representative,1/10/1957,57,1/3/1999,15,5475,Capricorn,Republican,26%,26
Mississippi 3,Gregg Harper,Gregg,Harper,Representative,6/1/1956,57,1/3/2009,5,1825,Gemini,Republican,9%,9
New York 5,Gregory Meeks,Gregory,Meeks,Representative,9/25/1953,60,2/3/1998,16,5840,Libra,Democratic,27%,27
Florida 12,Gus Bilirakis,Gus,Bilirakis,Representative,2/8/1963,51,1/3/2007,7,2555,Aquarius,Republican,14%,14
Wisconsin 4,Gwen Moore,Gwen,Moore,Representative,4/18/1951,63,1/3/2005,9,3285,Aries,Democratic,14%,14
New York 8,Hakeem Jeffries,Hakeem,Jeffries,Representative,8/4/1970,43,1/3/2013,1,365,Leo,Democratic,2%,2
Kentucky 5,Hal Rogers,Hal,Rogers,Representative,12/31/1937,76,1/3/1981,33,12045,Capricorn,Republican,43%,43
Georgia 4,Hank Johnson,Hank,Johnson,Representative,10/2/1954,59,1/3/2007,7,2555,Libra,Democratic,12%,12
Nevada,Harry Reid,Harry,Reid,Senator,12/2/1939,74,1/3/1987,27,9855,Sagittarius,Democratic,36%,36
North Dakota,Heidi Heitkamp,Heidi,Heitkamp,Senator,10/30/1955,58,1/3/2013,1,365,Scorpio,Democratic,2%,2
Texas 28,Henry Cuellar,Henry,Cuellar,Representative,9/19/1955,58,1/3/2005,9,3285,Virgo,Democratic,16%,16
California 33,Henry Waxman,Henry,Waxman,Representative,9/12/1939,74,1/3/1975,39,14235,Virgo,Democratic,53%,53
North Carolina 6,Howard Coble,Howard,Coble,Representative,3/18/1931,83,1/3/1985,29,10585,Pisces,Republican,35%,35
California 25,Howard McKeon,Howard,McKeon,Representative,9/9/1938,75,1/3/1993,21,7665,Virgo,Republican,28%,28
Florida 27,Ileana Ros-Lehtinen,Ileana,Ros-Lehtinen,Representative,7/15/1952,61,8/29/1989,24,8760,Cancer,Republican,39%,39
Georgia 1,Jack Kingston,Jack,Kingston,Representative,4/24/1955,59,1/3/1993,21,7665,Taurus,Republican,36%,36
Rhode Island,Jack Reed,Jack,Reed,Senator,11/12/1949,64,1/3/1997,17,6205,Scorpio,Democratic,27%,27
California 14,Jackie Speier,Jackie,Speier,Representative,5/14/1950,63,4/8/2008,6,2190,Taurus,Democratic,10%,10
Indiana 2,Jackie Walorski,Jackie,Walorski,Representative,8/13/1963,50,1/3/2013,1,365,Leo,Republican,2%,2
Washington 3,Jaime Herrera Beutler,J.,Herrera Beutler,Representative,11/3/1978,35,1/3/2011,3,1095,Scorpio,Republican,9%,9
Rhode Island 2,James Langevin,James,Langevin,Representative,4/22/1964,50,1/3/2001,13,4745,Taurus,Democratic,26%,26
Oklahoma 5,James Lankford,James,Lankford,Representative,3/4/1968,46,1/3/2011,3,1095,Pisces,Republican,7%,7
Illinois 9,Jan Schakowsky,Jan,Schakowsky,Representative,5/26/1944,69,1/3/1999,15,5475,Gemini,Democratic,22%,22
California 44,Janice Hahn,Janice,Hahn,Representative,3/30/1952,62,7/12/2011,2,730,Aries,Democratic,3%,3
California 2,Jared Huffman,Jared,Huffman,Representative,2/18/1964,50,1/3/2013,1,365,Aquarius,Democratic,2%,2
Colorado 2,Jared Polis,Jared,Polis,Representative,5/12/1975,38,1/3/2009,5,1825,Taurus,Democratic,13%,13
Utah 3,Jason Chaffetz,Jason,Chaffetz,Representative,3/26/1967,47,1/3/2009,5,1825,Aries,Republican,11%,11
Missouri 8,Jason T. Smith,Jason T.,Smith,Representative,6/16/1980,33,6/4/2013,0,0,Gemini,Republican,0%,0
West Virginia,Jay Rockefeller,Jay,Rockefeller,Senator,6/18/1937,76,1/15/1985,29,10585,Gemini,Democratic,38%,38
New Hampshire,Jeanne Shaheen,Jeanne,Shaheen,Senator,1/28/1947,67,1/3/2009,5,1825,Aquarius,Democratic,7%,7
Texas 5,Jeb Hensarling,Jeb,Hensarling,Representative,5/29/1957,56,1/3/2003,11,4015,Gemini,Republican,20%,20
California 10,Jeff Denham,Jeff,Denham,Representative,7/29/1967,46,1/3/2011,3,1095,Leo,Republican,7%,7
South Carolina 3,Jeff Duncan,Jeff,Duncan,Representative,1/7/1966,48,1/3/2011,3,1095,Capricorn,Republican,6%,6
Arizona,Jeff Flake,Jeff,Flake,Senator,12/31/1962,51,1/3/2013,1,365,Capricorn,Republican,2%,2
Nebraska 1,Jeff Fortenberry,Jeff,Fortenberry,Representative,12/27/1960,53,1/3/2005,9,3285,Capricorn,Republican,17%,17
Oregon,Jeff Merkley,Jeff,Merkley,Senator,10/24/1956,57,1/3/2009,5,1825,Scorpio,Democratic,9%,9
Florida 1,Jeff Miller,Jeff,Miller,Representative,6/27/1959,54,10/16/2001,12,4380,Cancer,Republican,22%,22
Alabama,Jeff Sessions,Jeff,Sessions,Senator,12/24/1946,67,1/3/1997,17,6205,Capricorn,Republican,25%,25
New York 10,Jerrold Nadler,Jerrold,Nadler,Representative,6/13/1947,66,11/3/1992,21,7665,Gemini,Democratic,32%,32
California 9,Jerry McNerney,Jerry,McNerney,Representative,6/18/1951,62,1/3/2007,7,2555,Gemini,Democratic,11%,11
Kansas,Jerry Moran,Jerry,Moran,Senator,5/29/1954,59,1/3/2011,3,1095,Gemini,Republican,5%,5
Oklahoma 1,Jim Bridenstine,Jim,Bridenstine,Representative,5/15/1975,38,1/3/2013,1,365,Taurus,Republican,3%,3
South Carolina 6,Jim Clyburn,Jim,Clyburn,Representative,7/21/1940,73,1/3/1993,21,7665,Cancer,Democratic,29%,29
Tennessee 5,Jim Cooper,Jim,Cooper,Representative,7/19/1954,59,1/3/2003,11,4015,Cancer,Democratic,19%,19
California 16,Jim Costa,Jim,Costa,Representative,4/13/1952,62,1/3/2005,9,3285,Aries,Democratic,15%,15
